label_flag,rows,columns
5,66,2
distance(m),curve_radius
0,0
131,1000
253,0
1575,5004
1715,0
3134,1004
3462,0
3674,600
3993,0
4405,5000
4480,0
4520,5000
4593,0
5201,3500
5396,0
5592,1200
5901,0
5953,1200
6231,0
6391,600
6769,0
6861,600
7143,0
7315,450
7632,0
7939,3000
8221,0
8463,800
8859,0
9253,6000
9374,0
9763,6000
9882,0
11230,1200
11385,0
11496,5000
11657,0
15449,2500
15743,0
15903,3500
16109,0
16180,3500
16386,0
16577,600
17597,0
17873,600
18298,0
19106,3500
19256,0
19307,3500
19473,0
20888,3000
21151,0
21697,600
22000,0
22039,650
22322,0
22462,1500
22989,0
23078,3000
23291,0
24091,1500
24287,0
24329,2500
24544,0
25394,0
