label_flag,rows,columns
3,42,3
distance(m),gradient(бы),vertical_curve_radius
0,0,0
335,-8.97,0
1285,0,0
2185,-5.9,0
4025,0,0
4455,-29,0
5435,-3.25,0
5735,-17,0
6595,25,0
6995,0,0
7405,-10,0
8950,0,0
9220,3,0
10605,2,0
10885,0,0
11305,-22,0
11635,-10,0
12185,3.5,0
12685,20,0
12935,0,0
13350,-9.74,0
13735,-3.5,0
15135,-9,0
15735,7.84,0
16485,-11,0
17325,-28.5,0
17905,10.8,0
18885,24.58,0
19335,0,0
20085,12.5,0
20385,-9,0
20835,-15,0
21600,-5,0
22185,-16,0
22585,12.9,0
23710,0,0
24160,-26,0
24435,-5.47,0
24685,5,0
24935,22,0
25185,0,0
25394,0,0
