label_flag,rows,columns
8,1271,25
distance,speed_down_aw0,level_flag_down_aw0,level_output_down_aw0,speed_down_aw1,level_flag_down_aw1,level_output_down_aw1,speed_down_aw2,level_flag_down_aw2,level_output_down_aw2,speed_down_aw3,level_flag_down_aw3,level_output_down_aw3,speed_up_aw0,level_flag_up_aw0,level_output_up_aw0,speed_up_aw1,level_flag_up_aw1,level_output_up_aw1,speed_up_aw2,level_flag_up_aw2,level_output_up_aw2,speed_up_aw3,level_flag_up_aw3,level_output_up_aw3
0,0,1,63,0,0,0,0,0,0,0,0,0,0,3,88,0,0,0,0,0,0,0,0,0
20,5.492340197,1,63,0,0,0,0,0,0,0,0,0,6.167830821,3,88,0,0,0,0,0,0,0,0,0
40,7.76582618,1,63,0,0,0,0,0,0,0,0,0,8.83187656,3,88,0,0,0,0,0,0,0,0,0
60,9.509761428,1,63,0,0,0,0,0,0,0,0,0,10.86177673,3,88,0,0,0,0,0,0,0,0,0
80,10.9795374,1,63,0,0,0,0,0,0,0,0,0,12.56858011,3,88,0,0,0,0,0,0,0,0,0
100,12.27408426,1,63,0,0,0,0,0,0,0,0,0,14.07033066,3,88,0,0,0,0,0,0,0,0,0
120,13.44414229,1,63,0,0,0,0,0,0,0,0,0,15.42700785,3,88,0,0,0,0,0,0,0,0,0
140,14.51985515,1,63,0,0,0,0,0,0,0,0,0,16.68110045,3,88,0,0,0,0,0,0,0,0,0
160,15.51328598,1,63,0,0,0,0,0,0,0,0,0,17.04845319,3,26,0,0,0,0,0,0,0,0,0
180,16.44362768,1,63,0,0,0,0,0,0,0,0,0,17.40816707,3,26,0,0,0,0,0,0,0,0,0
200,17.28805653,1,63,0,0,0,0,0,0,0,0,0,17.76070541,3,26,0,0,0,0,0,0,0,0,0
220,18.05480846,1,63,0,0,0,0,0,0,0,0,0,18.10648656,3,26,0,0,0,0,0,0,0,0,0
240,18.75956674,1,63,0,0,0,0,0,0,0,0,0,18.4458898,3,26,0,0,0,0,0,0,0,0,0
260,19.41352513,1,63,0,0,0,0,0,0,0,0,0,18.77299511,3,26,0,0,0,0,0,0,0,0,0
280,20.03071455,1,63,0,0,0,0,0,0,0,0,0,19.09459393,3,26,0,0,0,0,0,0,0,0,0
300,20.61113527,1,63,0,0,0,0,0,0,0,0,0,19.41095938,3,26,0,0,0,0,0,0,0,0,0
320,21.15979977,1,63,0,0,0,0,0,0,0,0,0,19.72234281,3,26,0,0,0,0,0,0,0,0,0
340,21.68070042,1,63,0,0,0,0,0,0,0,0,0,20.11658922,3,26,0,0,0,0,0,0,0,0,0
360,22.25575441,1,63,0,0,0,0,0,0,0,0,0,20.50336902,3,26,0,0,0,0,0,0,0,0,0
380,22.80378494,1,63,0,0,0,0,0,0,0,0,0,20.88309637,3,26,0,0,0,0,0,0,0,0,0
400,23.32780681,1,63,0,0,0,0,0,0,0,0,0,21.2561486,3,26,0,0,0,0,0,0,0,0,0
420,23.83034158,1,63,0,0,0,0,0,0,0,0,0,21.62287058,3,26,0,0,0,0,0,0,0,0,0
440,24.3135114,1,63,0,0,0,0,0,0,0,0,0,21.98357856,3,26,0,0,0,0,0,0,0,0,0
